H,V,t,R0
0.0,10.0,0.0,0.95
0.0009982386611229281,9.983407428731669,0.016618813781904728,0.95
0.010800181285784225,9.820334409912975,0.18280695160095198,0.95
0.04299992614117426,9.282559295634382,0.7712961673741441,0.95
0.09112122898302621,8.471367640161485,1.805263885447662,0.95
0.14125157595661308,7.612053491302922,3.177266518026837,0.95
0.18851187143858447,6.778480098980452,4.959281804745978,0.95
0.22718961900040383,6.060779291481871,7.1636543215807515,0.95
0.25494560619724027,5.494373616041342,9.836131575631736,0.95
0.27164258933765206,5.081009665788436,13.004430518840271,0.95
0.27910951931037514,4.790204288477748,16.72683519976923,0.95
0.27977780260940777,4.581612132662558,21.077345663270112,0.95
0.27587424669499805,4.416647142587861,26.174350827800147,0.95
0.26896214965900783,4.265571239721911,32.19254258638125,0.95
0.2598829893514864,4.108056892419677,39.38484706003844,0.95
0.24885770291382303,3.93018768088647,48.140739127549146,0.95
0.2356376544736576,3.720704596110008,59.07026663985347,0.95
0.21961170380927159,3.4675653159903175,73.15187748021282,0.95
0.20015153664622226,3.1603108471958268,91.699202971701,0.95
0.17865398378917102,2.8210288107772583,114.40793900979543,0.95
0.15911463978375226,2.513301770992755,137.53140196390092,0.95
0.14333259025586106,2.265641990851774,158.34330757184503,0.95
0.13070663522728926,2.0666842999193817,176.74960766538973,0.95
0.1200580250676372,1.8977082880246126,193.77227420036283,0.95
0.1104835744342706,1.7457531106363975,210.42451349512942,0.95
0.10154133284608748,1.6041485146692396,227.31952023550275,0.95
0.09310332852601931,1.4707436718225917,244.6734779842948,0.95
0.08519321698785406,1.3457935766833957,262.4268450777531,0.95
0.07787394765633149,1.2302210305103958,280.38529430019673,0.95
0.07117841503520979,1.1245000217209085,298.3577320226188,0.95
0.06508922961854882,1.0283326852270218,316.2377770249713,0.95
0.05449734897505145,0.8603587686161889,351.7814725901093,0.95
0.04522782330114162,0.7141480944069521,388.9936592738169,0.95
0.03652428116291453,0.5766932681279024,431.66051864696414,0.95
0.029567807341522305,0.46686080262299434,473.83655099704185,0.95
0.023536059737319214,0.37162151157261136,519.3665317225723,0.95
0.018757425325195858,0.2961697563152964,564.6566211082351,0.95
0.014796526321930596,0.23362925134022933,611.9841288802716,0.95
0.011675451164642478,0.1843491674107974,659.2537854208782,0.95
0.009155082893477523,0.14455390097486406,707.7697937604773,0.95
0.007176370270275038,0.11331108561655297,756.3528309181595,0.95
0.005602250601058306,0.0884565738112082,805.7518607208651,0.95
0.0043695667755353305,0.0689931507238707,855.3255579678473,0.95
0.0033975110381343535,0.053644905756042804,905.5177750040101,0.95
0.0026378427911193437,0.04165014609401725,955.9999613984216,0.95
0.002042148453685373,0.03224444732627731,1007.0530636607609,0.95
0.0015776147523970834,0.024909705458212764,1058.5285909716388,0.95
0.0012149780328564988,0.019183862989916856,1110.6189025150036,0.95
0.0009330379062442253,0.014732177062030727,1163.2738382400914,0.95
0.0007139885678220958,0.011273503465245175,1216.631251005834,0.95
0.0005444352126323562,0.008596345324731445,1270.690111353635,0.95
0.00041345790742583407,0.006528282669311042,1325.5564547234644,0.95
0.0003126558993435466,0.004936672049410291,1381.2664917652107,0.95
0.00023528770033659908,0.003715068926947698,1437.935282001371,0.95
0.00017611552657540976,0.0027807714578295573,1495.6679582076108,0.95
0.0001309915872162838,0.0020682882112369317,1554.6547129343255,0.95
9.669819270449436e-5,0.001526813564671512,1615.1308214010269,0.95
7.072310336413524e-5,0.0011166805771112517,1677.441688993361,0.95
5.1131532792391825e-5,0.0008073399902459321,1742.0329233809612,0.95
3.64311222045125e-5,0.0005752282447190582,1809.5053183557714,0.95
